id,pH,EC,OC,N,P,K,S,Ca,Mg,Zn,Cu,Fe,Mn,B,Mo,Tex,District,label
1377,6.182411365,1.14724361,17.5986161,507.796525,20.0730919,101.4897825,473.7933659,27,8.516275145,0.93103317,25.41284964,21.25475803,5.366202828,0.956898586,0.581035073,15,1,2
1378,6.144684092,1.127784317,15.48161502,549.2827471,12.97088108,96.65624026,776.4375974,42,3.097294442,1.226113901,63.83698804,11.91541457,6.25821188,1.717223472,0.713969188,10,1,2
1379,6.007883912,0.906384497,17.14836737,529.626869,20.31062875,76.09238034,229.6977017,48,1.737267238,1.954860928,20.63471491,7.002236863,6.500628752,1.668500586,0.686360343,12,1,2
1380,6.31466771,0.570043899,24.13633851,517.149448,20.53032599,89.76927892,710.8714739,21,2.280059548,1.09933542,43.43802456,41.488291,5.688062758,1.218360499,0.598921632,11,1,2
1381,6.319153054,0.763224821,15.93280135,511.5694195,12.09674266,95.36514671,1397.003173,24,1.093290243,0.315179222,11.55121324,9.518273985,7.777263289,0.805570181,0.814136796,10,1,2
1382,6.302539308,1.036855771,17.82588518,509.1179324,20.6445113,95.19118221,460.8065613,35,5.139705928,0.995967194,20.90967512,24.69626127,5.5674983,0.85625085,0.551814763,18,1,2
1383,6.383921206,0.188236382,20.02069546,505.940037,15.95362249,98.94727643,180,108,1.280375474,0.879024323,30.79365948,44.52667622,8.570655692,0.573939702,0.675290854,13,1,2
1384,6.494988701,0.714941353,23.43479285,513.7240955,15.97518347,76.20205534,160.0021522,113,8.044302154,1.999870869,29.09530184,23.59188209,7.130033359,0.539970945,0.685004842,17,1,2
1385,6.389792611,0.170622168,21.45918965,505.3411537,17.62110148,95.4244335,180,108,1.550460098,0.802696059,31.86225517,41.19758966,7.478574385,0.280369458,0.728133497,15,1,2
1386,6.196291419,1.134488966,17.62487566,507.9492056,20.13911594,100.7620175,472.2928195,28,8.126133081,0.938535902,24.89253518,21.65240282,5.389461297,0.945269351,0.577658844,16,1,2
1387,6.070246539,1.160124649,12.98968838,520.1388462,21.3,81.34933536,635.4321328,109,6.416247873,1.129135734,14.42056092,12.11301803,6.2,2.348211904,1.007778391,12,1,2
1388,6.736933571,0.9948317,16.08493179,525.5352382,18.84071845,97.59526976,433.2666073,144,0.922065538,2.514667855,29.80665044,9.423721807,15.86119284,0.491000891,0.73,13,1,2
1389,6.073449958,1.149931951,13.01517012,519.9761998,21.3,81.75413109,635.1409129,108,6.302526481,1.129718174,14.37469378,12.16995153,6.2,2.330884317,1.002536432,12,1,2
1390,6.008575549,1.306984631,17.26973752,505.884331,19.2461972,110.6044172,492.5864272,16,13.40247107,0.837067864,31.92934362,16.2745968,5.074910379,1.102544811,0.623319461,11,1,2
1391,6.3808665,0.197400499,19.27229258,506.251617,15.08608609,100.7800998,180,108,1.139859015,0.918735496,30.23770306,46.25869432,9.13883094,0.726674984,0.647798503,12,1,2
1392,6.731814219,1.030027243,16.11820757,522.5576953,18.44332877,98.96469635,434.5464452,139,0.946382459,2.489071096,28.72006804,9.672010367,16.7334024,0.471803322,0.73,13,1,2
1393,6.4174148,0.312295865,22.01260466,507.5144894,17.23483587,90.31311738,174.7781334,109,3.25319025,1.113311997,31.16763321,36.51347764,7.359061067,0.340495199,0.7182508,16,1,2
1394,6.06617429,1.143709607,19.25931177,521.5869605,20.56877185,92.83004599,238.0248985,48,1.674813261,2.096423275,29.45737996,8.317933963,6.758771854,1.847535318,0.648887957,12,1,2
1395,6.083386543,1.238239393,17.41127184,506.707252,19.60205491,106.6818947,484.4987521,21,11.29967554,0.87750624,29.12494228,18.4178307,5.200269343,1.039865328,0.605122192,13,1,2
1396,6.726828195,1.356696044,7.433611896,540.8002218,19.01339218,77.20176074,490.484584,109,4.33149796,2.329515416,18.35158562,11.90797363,12.11162954,1.971850299,1.032907504,15,1,2
1397,6.381703021,0.194890936,19.47724024,506.1662918,15.32365807,100.2781872,180,108,1.178338984,0.907860722,30.38994989,45.78438688,8.983238023,0.684848931,0.655327192,12,1,2
1398,6.595914322,0.766347955,14.23521932,522.0736053,17.62948274,95.0985895,755.0365729,66,1.033793095,2.556504729,29.01073693,10.49014629,15.81835434,0.959707417,0.662335422,10,1,2
1399,6.236857838,0.89438282,16.02281174,523.1730448,12.08388404,95.62231925,1227.269292,27,1.777369218,0.454052398,27.70164921,10.26150265,6.661134433,1.103890336,0.790991267,10,1,2
1400,6.729031097,1.379826524,6.278189362,544.8491572,19.30968261,73.5890001,497.0932925,108,4.761064012,2.322906708,17.60039575,12.06217682,11.02009119,2.178923165,1.072559755,15,1,2
1401,5.997134275,1.317498233,17.24809187,505.758477,19.19177385,111.204311,493.8233216,15,13.72406361,0.830883392,32.35823676,15.94681978,5.055738516,1.112130742,0.626102474,11,1,2
1402,6.152358444,1.02905373,16.11523295,535.0874594,12.07068101,95.88637986,1052.989291,31,2.479770433,0.596645125,44.28465533,11.0246378,5.515111399,1.41020064,0.767225812,10,1,2
1403,6.305118966,0.482433297,17.17816686,509.1275485,17.46426455,72.38866217,254.0699353,90,0.970573168,1.278768911,32.04244774,15.42577877,6.82,1.045803879,0.893258836,12,1,2
1404,6.052815812,0.650289318,12.8755341,509.469132,21.91406216,88.02913339,340,49,0.698736753,1.395631623,12.22654834,4.039682077,6.278321302,0.574947013,0.833973084,16,1,2
1405,6.38941476,0.171755721,21.36661613,505.3796945,17.51379176,95.65114418,180,108,1.533078946,0.807608124,31.79348627,41.41183125,7.548854695,0.299262015,0.724732837,15,1,2
1406,6.134045263,1.191688137,17.50711266,507.2644979,19.84302612,104.0257349,479.0221337,24,9.875754769,0.904889331,27.22592487,19.86913456,5.285156927,0.997421536,0.592799801,14,1,2
1407,6.310404363,0.600215276,24.0104058,516.4712479,20.45555345,89.57250907,712.1832729,22,2.246280723,1.090808726,42.08031256,40.08958528,5.850725838,1.212129454,0.604824728,11,1,2
1408,6.14449446,1.127954986,15.48279887,549.2895414,12.96948051,96.65569846,776.4430154,42,3.098028592,1.22549624,63.84675684,11.91587782,6.254351497,1.717486249,0.713993569,10,1,2
1409,6.730991525,1.035683262,16.12355508,522.079196,18.37946717,99.18476693,434.7521186,138,0.950290254,2.484957627,28.54545129,9.711911014,16.87356884,0.468718221,0.73,13,1,2
1410,6.695411448,0.632129697,12.04350282,529.5509727,17.03839598,98.22974699,760.7025301,70,0.965192823,3.019911574,35.46666169,10.57006632,17.46944734,0.954072708,0.643161385,10,1,2
1411,6.054378789,0.639348476,13.4225762,509.5019546,20.73401419,82.60560164,340,57,0.692484843,1.398757578,11.92489369,3.889636241,6.66593971,0.549939374,0.791772693,15,1,2
1412,6.059532662,0.603271363,15.22643185,509.6101859,16.84283987,64.72166137,340,81,0.67186935,1.409065325,10.93019615,3.394864407,7.944100282,0.467477401,0.652618114,12,1,2
1413,6.020419979,1.239330658,16.25954065,553.6907829,12.05006562,96.29868756,780.8662073,35,3.576508922,0.819291285,70.17757907,12.21620706,3.725695969,1.888477575,0.730118119,10,1,2
1414,6.532932909,0.845704535,15.42556802,518.7255134,17.8373214,93.47366905,752.5173164,63,1.11692856,2.280646141,26.37685425,10.48006927,14.72625664,0.979861469,0.673672076,10,1,2
1415,6.362960197,1.059870152,18.63805228,509.6897641,18.39823135,89.08837307,745.7184079,54,1.34129254,1.536165661,19.26859542,10.45287363,11.77892981,1.034252737,0.704267165,10,1,2
1416,6.605270768,0.713256309,12.60623821,532.7805845,16.37264267,97.97220219,763.2779781,66,1.314166027,2.726310501,40.11019444,10.79026712,15.63444063,1.078981936,0.654750901,10,1,2
1417,6.050822988,1.081207879,18.70337534,523.7043436,20.50078752,88.42202935,235.8318554,48,1.691261085,2.059141542,27.13385079,7.971433153,6.690787517,1.800384891,0.658756651,12,1,2
1418,6.778994155,0.705665183,15.81153799,549.9987255,22.1056713,86.34406347,422.7514612,182,0.722277763,2.724970776,38.73400945,7.383783471,8.695120801,0.648728082,0.73,17,1,2
1419,6.223045203,0.673947083,14.20513229,512.3808413,21.3,100.6575301,621.5413452,75,0.991895311,1.15691731,12.23276187,14.82866701,6.2,1.521710041,0.757744214,15,1,2
1420,6.150268392,0.905509661,13.62622585,516.0759184,21.3,91.46118775,628.1574189,91,3.575472073,1.143685162,13.27479347,13.53522461,6.2,1.915366423,0.87683354,14,1,2
1421,6.051305193,0.660863651,12.34681744,509.437409,23.05457953,93.27098142,340,42,0.704779229,1.392610385,12.51809781,4.184701503,5.903687783,0.599116917,0.874759798,17,1,2
1422,6.289285926,0.749668832,23.38659966,513.1117919,20.08516855,88.59781196,718.6812536,28,2.078957721,1.048571852,35.35490256,33.16111338,6.656475442,1.181264046,0.634065641,11,1,2
1423,5.979302366,1.333884312,17.21435583,505.562326,19.1069518,112.1392813,495.7510955,14,14.22528484,0.821244522,33.02669238,15.43595968,5.025858019,1.12707099,0.630439965,10,1,2
1424,6.717200909,1.255609541,12.4831234,523.1052701,17.71852222,92.99050978,461.602726,115,2.454177191,2.358397274,21.63449014,11.23406361,16.88194975,1.066885415,0.859616356,12,1,2
1425,6.515582461,0.821832776,23.81234513,515.372577,15.64078003,72.45595226,156.0795312,115,9.316212021,2.23522813,28.54515425,20.16155,7.069232733,0.592926329,0.676178945,17,1,2
1426,6.248706023,1.20383041,20.79745616,503.6160122,18.77527012,86.14061541,741.1482409,49,1.492108049,1.035732383,14.4904859,10.43459296,9.797762447,1.070814072,0.724832916,10,1,2
1427,6.720765844,1.293041359,10.61331497,529.6576208,18.19800598,87.14401629,472.2975312,113,3.149339527,2.347702469,20.41884729,11.48360906,15.11552443,1.40198931,0.923785187,13,1,2
1428,6.053096708,0.648323044,12.97384782,509.4750309,21.70198541,87.05442301,340,50,0.697613168,1.396193416,12.17233534,4.012716026,6.3479836,0.570452671,0.826388882,16,1,2
1429,6.077035277,1.187929343,19.65263469,520.08892,20.61687051,95.94870106,239.5764682,48,1.663176489,2.122799959,31.10126805,8.563081974,6.806870514,1.880894066,0.641905893,12,1,2
1430,6.046743521,1.197377514,16.23074927,549.9791636,12.05417868,96.2164265,835.1585118,34,3.357694483,0.774870309,65.01158403,11.97847258,4.082709002,1.793054737,0.737521615,10,1,2
1431,6.057602145,0.616784983,14.55075084,509.5696451,18.30038034,71.42055598,340,72,0.679591419,1.405204291,11.30278597,3.580194056,7.465332022,0.498365676,0.704742078,13,1,2
1432,6.056679651,0.62324244,14.22787801,509.5502727,18.99686315,74.62160944,340,68,0.683281394,1.403359303,11.48082727,3.66875346,7.236553562,0.513125577,0.729649411,13,1,2
1433,6.0553378,0.632635397,13.75823013,509.5220938,20.00996072,79.2778327,340,61,0.688648799,1.400675601,11.73980453,3.797571164,6.903774493,0.534595194,0.76587939,14,1,2
1434,6.274189444,0.834885573,15.9819803,517.9092884,12.0897171,95.50565799,1304.265729,26,1.467050245,0.391055313,20.37532157,9.924351582,7.167444337,0.968563265,0.801490781,10,1,2
1435,6.227137628,1.189487558,21.55083454,503.2254319,18.99518301,85.72942897,737.8038069,46,1.586551973,0.924275255,15.56305989,12.77169093,9.027672051,1.090431917,0.720117131,10,1,2
1436,6.148554339,0.910963467,13.61259133,516.1629456,21.3,91.24459373,628.3132419,91,3.636320969,1.143373516,13.2993356,13.5047612,6.2,1.924637894,0.879638355,14,1,2
1437,6.388017659,0.175947024,21.02432635,505.5221988,17.11701503,96.48940487,180,108,1.468812294,0.825770439,31.53921386,42.2039876,7.808715508,0.369117072,0.712158927,15,1,2
1438,6.715082407,1.145058451,16.22696435,512.8260551,17.14452186,103.4404561,438.7293982,124,1.025858566,2.405412036,25.16874092,10.48350325,19.58408488,0.409059027,0.73,11,1,2
1439,6.061141264,0.597717471,15.11039021,509.4613642,17.2283981,58.90014685,346.8475867,78,0.736193338,1.427118967,11.15841278,3.441301156,7.989241604,0.46,0.65027138,11,1,2
1440,6.059024887,0.606825789,15.04871054,509.5995226,17.22621012,66.4836412,340,79,0.673900451,1.408049775,11.02819676,3.443610823,7.818172041,0.475601804,0.666328044,12,1,2
1441,6.741594351,0.962788834,16.05463672,528.2460646,19.20251152,96.34851101,432.1014122,148,0.899926831,2.537971757,30.79590108,9.197673959,15.06711239,0.508478818,0.73,14,1,2
1442,6.583244084,0.733080324,12.74374765,533.5697691,16.20995988,97.90926881,763.9073119,64,1.39944076,2.654566445,41.24488333,10.84407517,15.18604028,1.109504626,0.657582903,10,1,2
1443,6.196203691,0.759351894,13.99162027,513.7436581,21.3,97.26573909,623.9814827,81,1.944768983,1.152037035,12.61708352,14.35162014,6.2,1.666898219,0.801666688,15,1,2
1444,6.723429958,1.321014557,9.215987105,534.5542625,18.55632933,82.77486912,480.2898736,111,3.668841782,2.339710126,19.51038437,11.67009705,13.79545588,1.652416038,0.971739241,14,1,2
1445,6.615811266,0.703769861,12.54043538,532.4029335,16.45049178,98.0023179,762.976821,66,1.273359242,2.760642409,39.56720822,10.76451819,15.84901506,1.064375817,0.653395694,10,1,2
1446,6.239467729,1.094813438,17.70656057,508.424145,20.34449514,98.49817852,467.6251103,31,6.91252869,0.961874448,23.27400701,22.88934576,5.46181079,0.909094605,0.567156498,17,1,2
1447,6.789753291,0.631696128,15.74160361,556.2565076,22.94084918,83.46599479,420.0616774,191,0.67117187,2.778766453,41.01763591,6.86196541,6.862033128,0.689074839,0.73,18,1,2
1448,6.012999051,0.927210421,17.33360848,528.9213452,20.33328151,77.561156,230.4284358,48,1.731786731,1.967283409,21.40892775,7.11769286,6.523281511,1.68421137,0.683072039,12,1,2
1449,6.758679739,0.845326791,15.94358169,538.1833535,20.52876477,91.7781697,427.8300651,163,0.818771238,2.623398697,34.4222747,8.369032637,12.15618939,0.572549023,0.73,15,1,2
1450,6.712939088,1.210860421,14.7184485,515.2720432,17.1453073,99.97989618,448.8172631,118,1.623122101,2.371182737,23.0877711,10.93573614,18.99368205,0.666274243,0.782903579,11,1,2
1451,6.589412569,0.774540163,14.35810245,521.7279722,17.65093852,94.93084428,754.7765028,65,1.042375409,2.528027052,28.73883363,10.48910601,15.70561394,0.961787978,0.663505738,10,1,2
1452,6.097418589,1.116614124,16.17532342,542.833979,12.06209665,96.05806691,939.6758396,33,2.93645798,0.689356131,55.06660193,11.52081337,4.769989612,1.609357615,0.751773978,10,1,2
1453,5.946260714,1.364246911,17.15184459,505.1988679,18.94978069,113.8717355,499.323166,12,15.15402317,0.80338417,34.26530783,14.489361,4.970490926,1.154754537,0.638477124,10,1,2
1454,6.062446975,1.257481158,17.37165644,506.4769167,19.50245048,107.7798072,486.7624892,19,11.88824719,0.866187554,29.90989312,17.81794037,5.165181418,1.057409291,0.610215601,12,1,2
1455,6.617987745,0.738535441,13.81803162,523.2470285,17.55664044,95.66808382,755.9195098,67,1.004656177,2.653186323,29.93384749,10.49367804,16.2011075,0.952643922,0.658362206,10,1,2
1456,6.460390447,0.53535994,22.80049153,510.9545877,16.53699322,82.49564248,166.5922958,112,5.907448091,1.604462253,30.01956948,29.35496267,7.232180585,0.451004007,0.699832666,17,1,2
1457,6.382981355,0.191055936,19.79043187,506.0359018,15.68670469,99.51118727,180,108,1.237142309,0.891242391,30.62260653,45.05957197,8.745468053,0.620932272,0.666832191,13,1,2
1458,6.503987067,0.761647159,23.5997629,514.4443933,15.82906715,74.56520967,158.2881777,114,8.600058392,2.10270934,28.85491692,22.09301137,7.103466754,0.563109602,0.6811484,17,1,2
1459,6.383819744,0.188540768,19.99583727,505.9503861,15.92480729,99.00815361,180,108,1.275708223,0.880343328,30.7751934,44.58420516,8.58952762,0.579012801,0.674377696,13,1,2
1460,6.059162413,0.605863112,15.09684438,509.6024107,17.12237856,66.00642859,340,79,0.67335035,1.408324825,11.00165439,3.430408399,7.852278302,0.4734014,0.662614862,12,1,2
1461,6.06979304,0.58041392,12.99070524,508.2587675,22.82609678,27.06161337,398.7582391,36,1.237996311,1.556895598,13.57225812,4.133443188,7.45283153,0.46,0.728137359,11,1,2
1462,6.145952892,0.919240799,13.591898,516.2950282,21.3,90.91586541,628.5497371,92,3.728672343,1.142900526,13.3365836,13.45852639,6.2,1.938709358,0.883895268,14,1,2
1463,6.620920721,0.734839892,13.76259838,523.4029455,17.54696162,95.74375459,756.0368288,67,1.000784649,2.666032757,30.05650454,10.49414732,16.2519653,0.951705369,0.65783427,10,1,2
1464,6.577232648,0.789886864,14.58830296,521.0804875,17.69113226,94.61660231,754.2893059,65,1.058452905,2.474678997,28.22946932,10.48715722,15.49441411,0.965685553,0.665698123,10,1,2
1465,6.265476069,0.918169361,22.6832931,509.3241931,19.66758028,87.49889547,726.0073635,35,1.890310389,1.000952137,27.77237876,25.34964865,7.564913076,1.146465023,0.667033136,10,1,2
1466,6.712463939,1.205871357,14.9676641,514.3987195,17.08139977,100.7591404,447.3918164,118,1.530468065,2.372608184,23.24979687,10.90247572,19.22911833,0.621610247,0.774350898,11,1,2
1467,6.335489396,0.422690425,24.75137909,520.4616978,20.89550634,90.73027983,704.4648011,16,2.445031372,1.140978793,50.06893085,48.31940582,4.893635337,1.248792195,0.570091605,11,1,2
1468,6.105775125,1.047079147,13.27230213,518.334963,21.3,85.83885674,632.2022613,101,5.154983054,1.135595477,13.91185616,12.74445791,6.2,2.15603455,0.949640704,13,1,2
1469,6.382058524,0.193824429,19.56433834,506.1300306,15.42462077,100.0648857,180,108,1.194692096,0.90323919,30.45465134,45.58281699,8.917114569,0.667073809,0.658526714,12,1,2
1470,6.388255504,0.175233488,21.08259852,505.4979386,17.18456318,96.34669751,180,108,1.479753191,0.822678446,31.58250175,42.06912915,7.764476229,0.357224793,0.714299537,15,1,2
1471,6.324624062,0.754505402,15.92681743,510.7980073,12.09759751,95.34804981,1408.287127,24,1.047812486,0.305946896,10.47752787,9.468863942,7.851463838,0.785737776,0.815675517,10,1,2
1472,6.087276135,1.10593957,13.12515108,519.2742071,21.3,83.50125708,633.8839877,105,5.811697202,1.132232025,14.17672806,12.4156804,6.2,2.256097269,0.979911779,13,1,2
1473,6.065721488,0.588557023,13.98823535,508.8247131,20.19180296,42.04492287,374.3289301,56,1.001846324,1.495822325,12.43629525,3.807719068,7.705267722,0.46,0.691493395,11,1,2
1474,6.728802202,1.377423121,6.398245075,544.4284472,19.27889616,73.96438879,496.4066059,108,4.716429381,2.323593394,17.67844913,12.04615414,11.13350893,2.157406984,1.068439635,15,1,2
1475,6.05224474,0.654286819,12.67565903,509.4571395,22.34522124,90.01075194,340,46,0.70102104,1.39448948,12.33676517,4.094504953,6.136695538,0.584084159,0.849392018,16,1,2
1476,6.106999072,1.216541394,17.45594419,506.9669898,19.71437396,105.4438325,481.9460463,22,10.63597204,0.890269768,28.23979156,19.09429773,5.239836282,1.020081859,0.599378604,14,1,2
1477,6.287601347,0.813510353,15.96731103,516.0182101,12.09181271,95.46374579,1331.927778,25,1.355563802,0.368422727,17.74323563,9.803225334,7.34934327,0.919945117,0.805262879,10,1,2
1478,6.067732422,0.584535156,13.49555663,508.5451934,21.49287699,34.64468728,386.3945316,46,1.118480472,1.525986329,12.99734572,3.968593755,7.58058984,0.46,0.709591797,11,1,2
1479,6.309279294,1.030662271,17.8386365,509.1920722,20.67657178,94.83778838,460.0779142,35,4.950257688,0.999610429,20.65701674,24.88935274,5.57879233,0.850603835,0.550175307,18,1,2
1480,6.260563288,0.95293673,22.53817713,508.5426831,19.58141767,87.27215176,727.5189883,36,1.851386052,0.991126576,26.20784715,23.73787877,7.752354544,1.139284806,0.673835447,10,1,2
1481,6.062112919,0.595774163,14.87233492,509.3263043,17.8570584,55.32445917,352.6775122,73,0.792549285,1.441693781,11.42950432,3.519033496,7.92899904,0.46,0.659016268,11,1,2
1482,6.244057006,1.069750417,22.05060695,505.9169145,19.29192288,86.51032336,732.5978442,41,1.720605511,0.958114012,20.95123122,18.32254859,8.382132685,1.11516024,0.696690299,10,1,2
1483,6.346397576,1.079496523,11.76541665,540.5087308,20.81469834,68.81562487,622.8211802,104,5.2495377,1.695490463,22.99501535,10.16779729,8.592150656,1.692343731,0.858085933,14,1,2
1484,6.155865354,0.887701146,13.67074714,515.7917454,21.3,92.16844022,627.6486042,90,3.376779924,1.144702792,13.19465515,13.63469789,6.2,1.885091947,0.867674875,14,1,2
1485,6.054666975,0.637331175,13.52344124,509.5080065,20.5164339,81.60559686,340,58,0.6913321,1.39933395,11.86927383,3.861970403,6.737409792,0.5453284,0.783991676,15,1,2
1486,6.387023429,0.178929713,20.78074009,505.6236102,16.83465382,97.08594263,180,108,1.423077732,0.838695424,31.35826407,42.76771578,7.993642214,0.418828552,0.703210861,14,1,2
1487,6.069198631,0.581602738,13.13633545,508.3413903,22.44151415,29.24903853,395.191785,39,1.203520588,1.547979463,13.406418,4.085890467,7.489684888,0.46,0.722787678,11,1,2
1488,5.990013842,0.833627787,16.50121558,532.0916622,20.23148987,70.96111762,227.1448346,48,1.75641374,1.911462189,17.9299523,6.598883873,6.421489874,1.613613945,0.697848244,12,1,2
1489,6.090515322,1.16648241,19.6394024,519.1870943,20.48212828,95.65974474,240.6572076,49,1.627796825,2.090238938,31.57300227,8.947431292,6.82,1.850567541,0.651829738,12,1,2
1490,6.163241127,1.214453907,12.22812768,530.5098347,21.08702306,72.2859576,632.4609933,113,6.905175604,1.372556724,18.5872108,10.75823584,7.249806679,2.21289364,0.98822341,13,1,2
1491,6.50270796,0.96432045,11.37052726,549.0420438,20.58228948,65.85395444,614.5943179,97,3.836574095,1.971090351,26.75674815,9.66390197,9.737741236,1.248093165,0.747023291,15,1,2
1492,5.944181954,0.647026527,14.84144648,538.413189,20.02852008,57.80081824,220.597422,48,1.805519335,1.800156174,10.99296862,5.564392677,6.218520082,1.472844573,0.727311601,12,1,2
1493,6.3855441,0.183367699,20.4183046,505.7745018,16.41452452,97.97353975,180,108,1.355028619,0.857926695,31.08902628,43.60649507,8.268797323,0.492794979,0.689896904,14,1,2
1494,6.05682842,0.62220106,14.27994699,509.5533968,18.88454293,74.10538274,340,68,0.68268632,1.40365684,11.45211495,3.654471684,7.27344815,0.510745281,0.725632661,13,1,2
1495,6.601374925,0.759467595,14.13201393,522.363891,17.61146275,95.23947305,755.254997,66,1.0265851,2.58042217,29.23909935,10.49101999,15.91304119,0.957960024,0.661352514,10,1,2
1496,6.243901834,1.090738855,17.71494942,508.4729202,20.3655871,98.26568761,467.1457476,31,6.787894389,0.964271262,23.107788,23.01637687,5.469240911,0.905379544,0.566077932,17,1,2
1497,5.992818193,0.845045501,16.60277314,531.704862,20.24390914,71.76636695,227.5454562,48,1.753409079,1.918272755,18.35441084,6.662182078,6.433909142,1.622227308,0.696045447,12,1,2
1498,6.714676926,1.229107721,13.80695239,518.4661897,17.37904653,97.12984162,454.0307775,117,1.96200054,2.365969222,22.49516829,11.05738481,18.13258324,0.829631029,0.814184665,12,1,2
1499,6.126066498,1.07095652,16.14398977,538.7946238,12.06657289,95.9685422,998.7621511,32,2.698322239,0.641012785,49.44444986,11.26208694,5.158526873,1.505508946,0.759831202,10,1,2
1500,6.022662623,0.966554967,17.68356786,527.5884624,20.37607733,80.33598185,231.8089462,48,1.721432904,1.990752085,22.87157849,7.335813499,6.566077332,1.713892343,0.676859742,12,1,2
1501,6.085752121,1.236065618,17.41574726,506.7332733,19.61330739,106.5578618,484.2430139,21,11.23318362,0.87878493,29.03626508,18.48560131,5.204233284,1.037883358,0.604546781,13,1,2
1502,6.21623131,0.69562765,14.15093088,512.7268012,21.3,99.7965019,622.16079,77,1.233788495,1.15567842,12.33032442,14.70756556,6.2,1.558567005,0.76889422,15,1,2
1503,6.303626439,0.787970362,15.94978358,513.7586721,12.09431663,95.41366738,1364.979531,25,1.222355223,0.341380384,14.59831128,9.65849872,7.566683584,0.861854157,0.809769936,10,1,2
1504,5.961889898,0.719123155,15.48272701,535.9707577,20.10694098,62.88552778,223.1271282,48,1.786546538,1.84316118,13.67319238,5.964086263,6.296940976,1.527233257,0.715927923,12,1,2
1505,6.452771362,0.946708084,16.94062126,514.4641256,18.10185451,91.40550114,749.3108545,59,1.222741802,1.929538565,23.02449835,10.46724342,13.33625541,1.005513164,0.688101155,10,1,2
1506,6.346595536,0.350226729,16.70248245,507.1833342,16.88100027,67.89104656,256.662221,97,0.843551171,1.121935629,32.13317774,16.67785274,6.82,0.89026674,0.939919978,12,1,2
1507,6.723503295,1.321784595,9.177521903,534.6890558,18.56619314,82.65459661,480.5098843,111,3.683142476,2.339490116,19.48537649,11.67523063,13.75911745,1.659309707,0.973059306,14,1,2
1508,6.443367838,0.447004494,22.48841037,509.5919684,16.81340796,85.5921361,169.8346975,111,4.856099341,1.409918151,30.47431632,32.19044295,7.282437811,0.407231584,0.707128069,16,1,2
1509,6.299896201,1.039284572,17.8208847,509.0888582,20.63193868,95.32976678,461.0923026,35,5.213998684,0.994538487,21.00875594,24.6205398,5.563069309,0.858465345,0.552457681,18,1,2
1510,6.042252667,1.046314431,18.39300731,524.8864357,20.46283324,85.96112304,234.6075239,48,1.700443571,2.038327906,25.83667157,7.777988777,6.652833241,1.774061764,0.664266142,12,1,2
1511,6.17700962,0.989765917,16.08827073,531.6116435,12.07453275,95.80934494,1103.832342,30,2.27485753,0.555046266,39.44686199,10.80200687,5.849442977,1.320840126,0.774158956,10,1,2
1512,6.20747912,0.723475527,14.08131118,513.1711738,21.3,98.69054337,622.9564436,79,1.544491232,1.154087113,12.45563987,14.55201527,6.2,1.605908395,0.783215985,15,1,2
1513,6.659551549,0.664403606,12.26737104,530.8357816,16.77354501,98.12729014,761.7270986,68,1.10402186,2.903110759,37.31395878,10.65766693,16.73944225,1.003764282,0.647771944,10,1,2
1514,6.075829904,1.142359398,13.03410151,519.8553635,21.3,82.05486962,634.9245542,107,6.218038426,1.130150892,14.34061729,12.21224965,6.2,2.318010977,0.998641976,13,1,2
1515,6.657179443,0.689153901,13.07730852,525.3304592,17.42730784,96.67922964,757.4871777,68,0.952923135,2.824845962,31.57284432,10.49994871,16.88069155,0.940102578,0.6513077,10,1,2
1516,6.407180546,0.259175213,21.82497667,506.6952618,17.40102066,92.17477693,176.7275151,108,2.621103226,0.996349093,31.44103399,38.21821196,7.389276484,0.314178546,0.722636909,16,1,2
1517,6.725606963,1.343873112,8.074147863,538.5555981,18.84913653,79.20458055,486.8208892,110,4.093357801,2.333179111,18.76802559,11.82248742,12.71674979,1.85705453,1.010925335,14,1,2
1518,6.726673249,1.35506912,7.514880638,540.5154326,18.99255206,77.45587082,490.0197485,109,4.301283652,2.329980252,18.40442192,11.89712746,12.18840487,1.957285453,1.030118491,15,1,2
1519,6.063082308,1.201225923,15.99104331,552.2064225,12.36819361,96.42309231,778.7690769,38,3.413209923,0.96032523,68.0406457,12.11475608,4.59703269,1.830300231,0.724460846,10,1,2
1520,6.213569621,0.704096659,14.12975835,512.8619424,21.3,99.46016125,622.4027617,77,1.328278439,1.155194477,12.36843497,14.66026009,6.2,1.57296432,0.77324971,15,1,2
1521,6.154421372,1.025765938,16.11297662,534.7965865,12.07100334,95.87993321,1057.24408,30,2.462622344,0.593163934,43.87980572,11.00600698,5.54308986,1.402722526,0.767806011,10,1,2
1522,6.448318667,0.472701651,22.57917555,509.9882704,16.73301594,84.69155683,168.8916825,111,5.161871935,1.466499047,30.34205848,31.36577639,7.267821079,0.419962286,0.705006286,16,1,2
1523,6.05128289,0.66101977,12.33901149,509.4369407,23.07141807,93.34837179,340,42,0.70486844,1.39256578,12.52240224,4.186842563,5.898156713,0.59947376,0.875361971,17,1,2
1524,6.265203234,1.071164595,17.75524936,508.7072356,20.46691268,97.14880339,464.8428936,33,6.189152332,0.975785532,22.30927335,23.6266332,5.504935149,0.887532425,0.560896511,17,1,2
1525,6.050754019,0.664721865,12.15390676,509.4258344,23.47071542,95.18355299,340,39,0.706983923,1.391508039,12.62447427,4.237614146,5.766996789,0.607935691,0.889641479,17,1,2
